dept_id,dept_name,dept_desc
1,경영지원실,"인사, 총무, 재무 등 회사 전반의 운영과 관리 지원을 담당한다."
2,전략기획실,"중장기 전략 수립, 사업 포트폴리오 관리, 성과 분석 등을 수행한다."
3,재무팀,"회계, 자금 운영, 세무, 재무제표 작성 등 재무 관련 업무를 담당한다."
4,법무팀,"계약 검토, 소송 대응, 규제 준수 등 법률 리스크 관리를 수행한다."
5,인사팀,"채용, 평가, 보상, 교육훈련 등 인사 정책을 수립하고 실행한다."
6,총무팀,"사내 자산, 복리후생, 문서 관리 등 행정 전반을 담당한다."
7,홍보팀,"언론 대응, 보도자료 작성, 대외 커뮤니케이션 및 기업 이미지 관리를 수행한다."
8,IR팀,"투자자 대상 공시, 재무성과 발표, 주주 커뮤니케이션을 담당한다."
9,구매팀,"부품, 원자재, 장비 등 구매와 협력업체 관리를 수행한다."
10,물류관리팀,"물류 계획, 재고 관리, 운송 효율화 등 공급망 전반을 관리한다."
11,생산기술팀,"생산라인의 자동화, 설비 개선, 제조 기술 개발을 담당한다."
12,품질관리팀,"제품 품질 기준 수립 및 검사, 품질 불량 분석, 개선 활동을 수행한다."
13,연구개발본부,"기술 개발, 신제품 연구, 지식재산 관리 등 연구 활동을 총괄한다."
14,반도체개발팀,"반도체 공정 및 회로 설계 기술 연구와 제품 개발을 수행한다."
15,디스플레이개발팀,"OLED, QLED 등 디스플레이 기술 연구와 시제품 개발을 담당한다."
16,모바일개발팀,"스마트폰 및 통신기기 하드웨어·소프트웨어 연구를 수행한다."
17,AI솔루션팀,"인공지능 기반 제품·서비스 개발 및 데이터 분석을 담당한다."
18,소프트웨어개발팀,"임베디드 시스템, 운영체제, 응용 소프트웨어 개발을 수행한다."
19,보안기술팀,"사이버 보안, 암호화 기술, 정보보호 시스템 개발을 담당한다."
20,마케팅전략팀,"시장조사, 제품 포지셔닝, 가격 전략 등 마케팅 전략을 수립한다."
21,브랜드관리팀,"브랜드 이미지 관리, 광고 캠페인 기획 및 실행을 담당한다."
22,영업1팀,"국내 주요 고객사 대상 제품 판매 및 계약 관리를 수행한다."
23,영업2팀,"해외 시장 개척, 수출 계약 관리, 해외 파트너십을 담당한다."
24,고객서비스팀,"고객 불만 처리, A/S 운영, 서비스 품질 개선을 수행한다."
25,IT인프라팀,"내부 서버, 네트워크, 클라우드 인프라 구축 및 유지보수를 담당한다."
26,데이터분석팀,"데이터 수집, 정제, 분석을 통한 의사결정 지원을 수행한다."
27,UX디자인팀,"사용자 경험 및 인터페이스 디자인 개선을 담당한다."
28,환경안전팀,"산업안전, 환경 규제 대응, ESG 관련 활동을 수행한다."
29,해외사업팀,"해외 지사 관리, 현지 마케팅 및 글로벌 전략 실행을 담당한다."
30,교육개발팀,"직원 역량 강화 교육, 리더십 프로그램, 사내 학습 시스템 운영을 담당한다."
