dept_id,dept_name,dept_desc
1,경영지원실,"경영지원실은 회사 전반의 운영을 체계적으로 관리하는 핵심 부서이다. 인사, 총무, 재무 등 각종 행정 지원 기능을 통합해 효율적인 조직 운영을 돕는다. 예산 편성, 경영 지표 관리, 사내 규정 제정 등 경영의 근간을 담당하며, 다른 모든 부서가 원활히 일할 수 있도록 인프라를 제공한다."
2,전략기획실,"전략기획실은 회사의 중장기 전략을 수립하고, 각 사업 부문의 목표를 조정하는 컨트롤타워 역할을 한다. 시장 변화와 경쟁사 동향을 분석해 경영진 의사결정을 지원하며, 신규 사업 발굴 및 실행 계획 수립을 주도한다. 또한 연간 예산과 KPI를 관리해 조직 전체의 성과를 점검한다."
3,재무팀,"재무팀은 회사의 자금 흐름을 총괄하고 재무 건전성을 유지한다. 회계 처리, 세무 관리, 예산 편성 및 운용 등 재무 전반의 업무를 수행하며, 재무제표 작성과 외부 감사 대응도 담당한다. 투자 분석과 비용 절감 전략을 통해 회사의 수익성과 지속 가능성을 높인다."
4,법무팀,"법무팀은 회사의 법적 리스크를 예방하고 관리하는 역할을 한다. 계약서 검토, 분쟁 조정, 소송 대응, 규제 준수 등 다양한 법무 업무를 수행한다. 또한 지식재산권 관리 및 법률 자문을 통해 경영진과 사업 부서의 합법적 의사결정을 지원한다."
5,인사팀,"인사팀은 인재 확보와 육성, 평가, 보상 등 인적 자원 관리의 전 과정을 담당한다. 채용 프로세스 설계, 성과 평가, 승진 및 급여 정책 운영을 통해 조직의 역량을 강화한다. 직원 만족도 향상과 조직문화 개선을 위한 다양한 제도도 기획·운영한다."
6,총무팀,"총무팀은 사내 자산 관리, 시설 유지보수, 복리후생 및 문서 관리 등 행정 전반을 담당한다. 사무환경 조성, 비품 구매, 출장 및 회의 지원 등 실무적 지원을 통해 조직의 효율성을 높인다. 또한 안전관리와 행사 운영 등 회사 생활의 모든 기반을 관리한다."
7,홍보팀,"홍보팀은 대내외 커뮤니케이션을 통해 회사의 이미지를 구축하고 관리한다. 언론 대응, 보도자료 작성, SNS 및 미디어 콘텐츠 기획 등 다양한 홍보 활동을 수행한다. 위기 발생 시에는 신속한 대응과 메시지 관리로 기업 평판을 보호한다."
8,IR팀,"IR팀은 투자자 및 주주와의 신뢰를 유지하기 위한 정보 공개와 커뮤니케이션을 담당한다. 분기별 실적 발표, 투자설명회(IR 미팅), 공시자료 작성 등을 통해 투명한 경영을 지원한다. 또한 주가 및 시장 반응을 분석해 경영진에게 전략적 인사이트를 제공한다."
9,구매팀,"구매팀은 원자재, 부품, 장비 등의 조달을 총괄하고 협력업체를 관리한다. 공급망 안정화와 원가 절감을 목표로 최적의 거래 조건을 확보한다. 또한 공급업체 품질 평가와 계약 협상을 통해 안정적 생산 기반을 유지한다."
10,물류관리팀,"물류관리팀은 제품 및 자재의 입출고, 운송, 재고 관리 등 공급망 전반을 운영한다. 물류 효율화를 위한 시스템 개선과 운송비 절감 전략을 추진한다. 또한 생산 일정과 연동하여 적시 배송을 보장하며, 물류 파트너사와 긴밀히 협업한다."
